scenario,event,sim_time_s,n,thermal_power,Tf,Tc,rho,rho_dollars,rod_position,rod_target,I_norm,Xe_norm,rho_xe,decay_heat,plant_mode,scram_active,numerical_fault
tmi_loss_of_cooling,loss_of_feedwater,0,1,1,543,293,0,0,0.7499999404,0.7499999404,1,1,-0,0.06599999964,2,0,0
tmi_loss_of_cooling,,1,0.9845089912,0.9855185151,543.1141357,302.1644592,-9.450513608e-05,-0.0135007333,0.7499999404,0.7499999404,0.9999997616,1.000000358,-7.152557213e-09,0.06598711014,2,0,0
tmi_loss_of_cooling,,2,0.9661470652,0.9683269262,543.4158325,310.8034363,-0.0001884611702,-0.02692302316,0.7499999404,0.7499999404,0.9999991059,1.00000155,-3.099441415e-08,0.0659455806,2,0,0
tmi_loss_of_cooling,,3.000000238,0.9460238218,0.9494597912,543.8574219,318.9539185,-0.0002810462611,-0.0401494652,0.7499999404,0.7499999404,0.9999978542,1.000003576,-7.152556947e-08,0.06587347388,2,0,0
tmi_loss_of_cooling,,4,0.9247181416,0.9294570088,544.4013062,326.6489563,-0.0003716533538,-0.0530933328,0.7499999404,0.7499999404,0.9999959469,1.000006557,-1.311302213e-07,0.06577026844,2,0,0
tmi_loss_of_cooling,,5,0.9026479125,0.9087095261,545.0170898,333.918457,-0.0004598239902,-0.06568913907,0.7499999404,0.7499999404,0.9999935031,1.00001061,-2.12192532e-07,0.0656363219,2,0,0
tmi_loss_of_cooling,,6.000000477,0.8801440001,0.8875271082,545.6800537,340.7894897,-0.0005452085752,-0.07788693905,0.7499999404,0.7499999404,0.9999904037,1.000015616,-3.12328325e-07,0.06547261775,2,0,0
tmi_loss_of_cooling,,7.000000477,0.8574751616,0.8661623597,546.3702393,347.2867126,-0.0006275594351,-0.08965134621,0.7499999404,0.7499999404,0.999986589,1.000021815,-4.363059816e-07,0.06528055668,2,0,0
tmi_loss_of_cooling,,8,0.8348586559,0.8448198438,547.0717163,353.4325867,-0.0007066981052,-0.1009568721,0.7499999404,0.7499999404,0.9999821782,1.000028968,-5.793571063e-07,0.06506188214,2,0,0
tmi_loss_of_cooling,,9,0.81246984,0.8236653805,547.7716064,359.2477722,-0.0007825117209,-0.1117873862,0.7499999404,0.7499999404,0.9999771118,1.000037193,-7.438659395e-07,0.06481855363,2,0,0
tmi_loss_of_cooling,,10,0.7904464006,0.8028296232,548.460022,364.7512817,-0.0008549431805,-0.1221347377,0.7499999404,0.7499999404,0.9999714494,1.000046492,-9.298324244e-07,0.06455267221,2,0,0
tmi_loss_of_cooling,,11.00000095,0.7688950896,0.7824144363,549.1290894,369.9606323,-0.0009239684441,-0.1319954842,0.7499999404,0.7499999404,0.9999651313,1.000056744,-1.134872377e-06,0.064266406,2,0,0
tmi_loss_of_cooling,,12.00000095,0.7478970885,0.7624978423,549.7729492,374.8921204,-0.0009896039264,-0.1413719803,0.7499999404,0.7499999404,0.9999581575,1.000067949,-1.358985855e-06,0.06396193057,2,0,0
tmi_loss_of_cooling,reactor_trip,12.00000095,0.7478970885,0.7624978423,549.7729492,374.8921204,-0.0976396054,-13.94851494,0,0,0.9999581575,1.000067949,-1.358985855e-06,0.06396193057,2,1,0
tmi_loss_of_cooling,,13.00000095,0.04386665672,0.1034294069,544.0932007,379.4369202,-0.0975439474,-13.93484879,0,0,0.9999309182,1.000112295,-2.245903033e-06,0.06245794892,2,1,0
